"Timestamp","Average Grade","Birth Year","Nationality","Gender","Favorite Pastime","Favorite Music Genre","Favorite Sport","Favorite Flavor Type","Personality","Typical Sleeping Hour","Do you smoke?","Favorite Color","Favorite Digit","Horoscope","Aptitude to work in groups","Do you Procrastinate a lot?","Are you organized?","Do you have Siblings? How many?","Monthly Spending","Course After Diploma","Enjoyment of Studying in Singapore","Enjoyment of Studying in PSB Academy","Favorite DICT Module","Hardest DICT Module"
"2019/08/15 10:43:12 PM GMT+8","9","2000","Singaporean","Female","Games","EDM","Hockey","Sweet","1","2-3","No","Yellow","7","Aquarius","4","Yes","No","0","700","PSB University of Newcastle","1","4","AC","ICOS"
"2019/08/15 10:44:11 PM GMT+8","7","2000","Malaysian","Female","Physical Sports","Jazz","Tennis","Sweet","3",">8","No","Black","8","Virgo","5","No","Yes","3","600","PSB Edith Cowan University","5","9","IP","IP"
"2019/08/15 10:47:11 PM GMT+8","8","1998","Singaporean","Male","Physical Sports","EDM","Football","Sweet","4",">8","No","Blue","7","Capricorn","7","Yes","Yes","3","400$","PSB University of Newcastle","8","7","ISOG ","IP"
"2019/08/15 10:51:36 PM GMT+8","9","1998","Singaporean","Female","Hanging out with friends outside","Rock","Hockey","Sour","2","6-7","No","White","2","Leo","5","Yes","No","1","$300","PSB University of Newcastle","10","6","DDMG","IP"
"2019/08/15 10:59:56 PM GMT+8","5","1999","Indian","Female","Hanging out with friends outside","Rock","Basketball","Sweet","3","6-7","No","Black","4","Gemini","7","No","Yes","1","100 $ pr month","PSB University of Newcastle","1","1","ISEG","INTRODUCTION TO PROGRAMMING"
"2019/08/15 11:02:06 PM GMT+8","6","<1995","Singaporean","Male","Games","Rock","Football","Sour","1","4-5","No","Red","4","Aquarius","5","Yes","No","1","100","PSB Edith Cowan University","2","3","IP","ISEG"
"2019/08/15 11:04:29 PM GMT+8","10","1996","Chinese","Female","Physical Sports","Jazz","Tennis","Salty","4",">8","No","White","9","Leo","10","No","Yes","1","1000","PSB University of Newcastle","8","8","ISOG","IP"
"2019/08/15 11:19:18 PM GMT+8","1","2002","Burmese","Male","Games","Pop","Volleyball","Sweet","2","6-7","No","Blue","3","Aries","7","Yes","Yes","4","1000","PSB Coventry University","5","3","","IP"
"2019/08/15 11:24:05 PM GMT+8","6","1999","Malaysian","Male","Listen to Music","Jazz","Basketball","Sour","3","6-7","No","Blue","5","Virgo","7","Yes","Yes","1","450-500","Other institution Overseas","6","6","Ip","IP"
"2019/08/16 12:24:26 AM GMT+8","7","1999","Indian ","Male","Listen to Music","Rap","Football","Sweet","4","6-7","No","Black","7","Virgo","8","No","Yes","0","1000 dollars ","Other institution Overseas","10","10","ISEG","IP"
"2019/08/16 12:52:03 AM GMT+8","9","2001","Indian","Male","Physical Sports","Pop","Cricket","Sweet","4",">8","No","Blue","10","Capricorn","10","No","Yes","2","$500","PSB University of Newcastle","10","9","ISOG, ICOS, IP","DDMG "
"2019/08/16 12:40:44 PM GMT+8","6","1999","Chinese","Male","Games","Pop","Hockey","Sweet","1","6-7","No","Blue","4","Leo","2","No","Yes","0","300","PSB Coventry University","5","6","",""
"2019/08/16 4:17:40 PM GMT+8","5","1995","Singaporean","Male","Physical Sports","Rock","Basketball","Salty","3","4-5","Yes","Green","6","Taurus","10","No","Yes","2","500","No Further Studies","1","2","AC","IP"
"2019/08/16 4:19:06 PM GMT+8","5","1995","Singaporean","Male","Games","Rap","Volleyball","Savoury","2",">8","No","Black","6","Capricorn","8","Yes","No","3","300","No Further Studies","3","1","Foundation Mathematics","Introduction to Programming"
"2019/08/16 4:20:00 PM GMT+8","6","1997","Singaporean","Male","Listen to Music","Rock","Tennis","Savoury","3","6-7","No","Black","7","Cancer","7","Yes","Yes","1","$300","Other institution Overseas","4","4","Discrete mathematics","IP"
"2019/08/16 4:29:56 PM GMT+8","5","2000","Malaysian","Male","Games","Pop","Basketball","Sweet","3","6-7","No","Black","7","Leo","5","Yes","No","0","700","PSB Coventry University","8","8","DDMG","AC"
"2019/08/16 5:29:07 PM GMT+8","7","1998","Indian ","Male","Shopping","Rock","Cricket","Sweet","5","6-7","No","Black","9","Sagittarius","10","Yes","Yes","1","1000","PSB University of Newcastle","10","10","ISOG ","IP"
"2019/08/16 5:33:29 PM GMT+8","7","1998","Indian","Male","Shopping","Rock","Cricket","Sweet","5","6-7","No","Black","9","Sagittarius","10","Yes","Yes","1","1000","PSB University of Newcastle","10","10","ISOG","IP"
"2019/08/17 6:19:14 PM GMT+8","6","1999","Indonesian","Male","Games","Rap","Basketball","Savoury","3",">8","No","Black","6","Taurus","7","Yes","No","1","1000","Other Institution in Singapore","8","1","",""
"2019/08/18 1:19:59 PM GMT+8","4","1999","Chinese","Male","Games","Rap","Tennis","Sour","3",">8","No","Blue","4","Aries","4","No","Yes","0","S$ 300","PSB University of Newcastle","9","9","DM","IP"
"2019/08/20 6:18:50 PM GMT+8","6","2000","Korean","Male","Physical Sports","Rap","Football","Salty","4",">8","No","Red","7","Aries","8","Yes","Yes","1","1000","PSB Coventry University","6","5","Dm","Ip"
"2019/08/21 3:47:15 PM GMT+8","8","1999","Indonesian","Male","Listen to Music","Rock","Cricket","Sweet","2","6-7","No","Black","3","Aries","4","Yes","Yes","1","1750","PSB Coventry University","7","6","IP","IP"
"2019/08/21 3:59:30 PM GMT+8","6","2001","Indonesian","Male","Physical Sports","Jazz","Football","Sweet","4","6-7","No","Black","2","Libra","10","Yes","Yes","2","600","PSB Coventry University","7","7","ISEG","IP"
"2019/08/21 3:59:40 PM GMT+8","7","2001","Chinese","Male","Games","Jazz","Football","Salty","3",">8","No","Red","8","Sagittarius","5","Yes","Yes","5","200","PSB University of Newcastle","6","6","IP","AC"
"2019/08/21 3:59:50 PM GMT+8","7","1999","Indian ","Male","Listen to Music","Rap","Football","Sweet","4","6-7","No","Black","7","Virgo","8","No","Yes","0","1000 dollars ","Other institution Overseas","9","9","ISEG","IP"
"2019/08/21 3:59:57 PM GMT+8","7",">2002","Vietnamese","Male","Games","Pop","Basketball","Sweet","3","6-7","No","Blue","3","Pisces","9","No","Yes","2","600","PSB University of Newcastle","7","7","Ip","Ip"
"2019/08/21 4:00:03 PM GMT+8","6","1999","Indonesian","Male","Listen to Music","Pop","Football","Savoury","1","6-7","No","Blue","5","Cancer","5","Yes","Yes","1","700","PSB Coventry University","7","7","ICOS","IP"
"2019/08/21 4:00:05 PM GMT+8","7","1996","Korean","Male","Games","Pop","Football","Sweet","3","6-7","No","Blue","7","Aries","7","Yes","Yes","1","800","PSB Coventry University","8","5","Isog","Ip"
"2019/08/21 4:00:27 PM GMT+8","1","2000","Malaysian","Male","Hanging out with friends outside","Rap","Basketball","Sweet","2",">8","No","Blue","8","Leo","6","Yes","Yes","4","550","PSB University of Newcastle","3","3","Discrete Math ","IP"
"2019/08/21 4:00:29 PM GMT+8","7","1998","Korean","Male","Listen to Music","Pop","Basketball","Bitter","4","6-7","No","Blue","3","Scorpio","8","No","Yes","1","1500","PSB Coventry University","8","7","DM","DDMG"
"2019/08/21 4:00:37 PM GMT+8","5","1996","Singaporean","Male","Listen to Music","Rock","Tennis","Sweet","2",">8","No","Green","10","Virgo","4","Yes","No","3","200","PSB University of Newcastle","4","4","Acedemic Reading & Writing","IP"
"2019/08/21 4:01:59 PM GMT+8","6","2000","Singaporean","Male","Hanging out with friends outside","Pop","Football","Savoury","5","2-3","Prefer not to say","Black","3","Capricorn","6","Yes","Yes","2","200","No Further Studies","6","6","AC","Isog"
"2019/08/21 4:02:07 PM GMT+8","7","1999","Korean","Female","Games","Pop","Football","Sweet","3","4-5","No","Blue","3","Virgo","7","Yes","No","0","700","PSB Coventry University","6","4","ISEG","IP"
"2019/08/21 4:02:19 PM GMT+8","9","1998","Indian","Male","Hanging out with friends outside","Rock","Cricket","Sweet","5","6-7","Yes","Red","1","Aquarius","10","Yes","Yes","1","1000$","PSB Coventry University","10","10","ISOG","IP"
"2019/08/21 4:02:45 PM GMT+8","8","1998","Vietnamese","Male","Games","Pop","Tennis","Sweet","3","6-7","No","Black","7","Pisces","6","No","Yes","1","300sgd","PSB Coventry University","8","7","DM","AC"
"2019/08/21 4:02:54 PM GMT+8","5","1999","Malaysian","Male","Games","Rock","Basketball","Sweet","3","4-5","Yes","Blue","3","Capricorn","5","Yes","Yes","5","100dollor","PSB University of Newcastle","5","5","IP，ISEG，ISOG","IP"
"2019/08/21 4:05:35 PM GMT+8","5","2002","Indonesian","Male","Games","EDM","Basketball","Sweet","3","6-7","No","Red","5","Gemini","5","No","Yes","3","$150","PSB University of Newcastle","6","6","IP","IP"
"2019/08/21 4:06:39 PM GMT+8","6","1995","Singaporean","Male","Hanging out with friends outside","EDM","Volleyball","Savoury","3",">8","Yes","Black","8","Leo","6","Yes","Yes","0","250","Work first for school income","4","4","programming","Programming"
"2019/08/21 4:07:12 PM GMT+8","5","2000","Indonesian","Male","Games","Rock","Volleyball","Salty","1","6-7","No","Red","7","Cancer","7","Yes","Yes","1","100","PSB University of Newcastle","8","6","Other","Other"
"2019/08/21 4:08:00 PM GMT+8","7","1998","Singaporean","Male","Games","Jazz","Hockey","Sweet","1","6-7","No","Orange","10","Leo","3","Yes","Yes","1","500","PSB University of Newcastle","8","7","ISEG","IP"
"2019/08/21 4:24:18 PM GMT+8","7","2000","Korean","Male","Games","EDM","Tennis","Sweet","2","6-7","No","Purple","10","Scorpio","10","Yes","Yes","1","60","Other Institution in Singapore","5","5","ISEG","IP"
"2019/08/21 4:43:16 PM GMT+8","6",">2002","Indonesian","Male","Games","Pop","Basketball","Sweet","2",">8","No","Green","7","Aries","8","Yes","No","1","500","PSB Coventry University","6","5","IP","ISOG"
"2019/08/26 4:05:43 PM GMT+8","7","<1995","Burmese","Female","Shopping","Pop","Cricket","Sweet","4","6-7","Yes","White","5","Aquarius","7","No","Yes","3","na","No Further Studies","8","5","TQM","PM"
